,ADRO,PTBA,INDY,ITMG,ret_ADRO,ret_PTBA,ret_INDY,ret_ITMG
2014-01-02,1092.9813505286977,2636.3459458427683,14276.043410913831,81.2465889654407,,,,
2014-01-03,1112.6552484134081,2710.704085986347,13968.050622105562,75.98788421643349,0.017840128054288442,0.027814564505797022,-0.021810223215894257,-0.0669149289916969
2014-01-06,1107.5103813299831,2643.890842242983,13901.432769039246,75.70589573201978,-0.00463467790322564,-0.024956775418708034,-0.004780711505245286,-0.0037178691087548415
2014-01-07,1103.726063998926,2538.693784039238,13853.712819721892,70.6379063834169,-0.003422809924907232,-0.04060194555305803,-0.0034386413997220884,-0.06928912224167476
2014-01-08,1128.4101422604897,2469.961012224009,13723.412886278167,67.42690594664109,0.022117901653997445,-0.027447324511433994,-0.009449926326051426,-0.04652278174133503
2014-01-09,1160.411926974398,2404.7403178362592,13471.794298483317,67.2425780963404,0.02796536325882378,-0.02676044421437387,-0.018505155442753465,-0.002737486769490132
2014-01-10,1090.0774392160772,2423.1840359729727,14098.413960427473,61.93310548602697,-0.0625263126726901,0.007640470938960888,0.04546411741577852,-0.08225179071933386
2014-01-13,1056.238330231842,2438.928265694785,13983.216677524177,58.56541590130843,-0.0315348875428305,0.006476314726805595,-0.008204504260161364,-0.05591050876238208
2014-01-14,1068.1355226942676,2445.676840928899,13811.125623850097,58.737470229623945,0.011200775069143415,0.00276320373121218,-0.012383329739384396,0.002933507561057655
2014-01-15,1070.9511680849778,2509.4136730696196,13239.002281890724,61.56294878363118,0.002632569338102315,0.025727218295980157,-0.042307280664825246,0.04698235120096864
2014-01-16,1098.5120269551207,2501.1541867297633,13560.697364433101,64.98291233328715,0.02540936557372021,-0.0032968294421117437,0.024008517928645622,0.05406413936241611
2014-01-17,1142.2753220881502,2458.354003000975,13797.621407332996,62.104738511091206,0.03906560851176161,-0.01726027850426612,0.017320506274284088,-0.04530205759972812
2014-01-20,1102.1799887093935,2525.775254071699,14236.795056260415,63.51186250619074,-0.035732143288374395,0.02705602539555532,0.03133359885907286,0.022404409017916148
2014-01-21,1095.0817779169538,2530.619021696043,13869.210956289306,63.28583802268725,-0.006460983022344908,0.001915898500721086,-0.026158470185791673,-0.003565123373061941
2014-01-22,1127.0462589103324,2531.5439273639086,13385.245155839903,58.26688555408479,0.02877123676689779,0.0003654191646790742,-0.035518351673792296,-0.08262764500435178
2014-01-23,1150.756880244637,2576.300569311169,13303.077594712937,60.517153497750435,0.020819602343561668,0.01752511748489057,-0.006157585961169389,0.037892922543191744
2014-01-24,1139.5419931019383,2687.316480186936,13307.687914092503,62.76269310864773,-0.009793461377305737,0.042188622611416274,0.0003465003232746393,0.03643398443331468
2014-01-27,1132.9702946958487,2638.0217487876293,12922.92325271039,59.310155103422105,-0.005783657813739873,-0.018513805996040657,-0.029339176169582367,-0.05658029719357028
2014-01-28,1159.0746352471385,2581.6028927730345,12762.577995310374,61.851260452026374,0.022779195100140093,-0.021618816394104966,-0.012485435951810321,0.04195193682843723
2014-01-29,1138.2225609799857,2556.7268529601656,12753.254960151518,61.35666147290802,-0.018154069907488257,-0.009682614932826442,-0.0007307647443857625,-0.008028731078821842
2014-01-30,1144.1272261679815,2589.534756667986,12562.385862284536,62.227155929893144,0.005174209838270818,0.012750361588697549,-0.015079429826781083,0.014087748252104751
2014-01-31,1183.59147407914,2481.042758228313,12579.297695452808,60.49050021189158,0.033911339678382765,-0.042799290112864964,0.0013453224546519228,-0.028305163563363996
2014-02-03,1142.361168897001,2420.5261664947625,12530.355368353612,57.09527883738464,-0.03545611692369276,-0.02469399812617139,-0.003898292736654787,-0.05776490053056089
2014-02-04,1102.9180808350206,2417.9840664954154,12322.33354629415,58.53861567607666,-0.035137853115990235,-0.0010507780745884108,-0.01674077851221976,0.024965202610493585
2014-02-05,1129.6047378433534,2444.581855435537,12849.211819002763,55.613806820956725,0.02390831391642601,0.010939925397250558,0.04186912102294197,-0.051255138949413595
